36528,11486,3
269101,34082,69
71000,4920,36
275256,13136,52
328,71991,1
251,42350,5
2285,113329,3
59,168450,9
7891,69550,8
27664,129199,150
29960,94041,82
30741,154599,80
428,65823,11
3899,162947,117
234,101518,90
5751,180541,101
72,43159,0
75,167976,41
58,149209,12
86,159843,33
51,54858,0
154,111668,15
93,85125,5
194,178984,9
96,16054,1
1525,122191,18
468,19088,6
6146,189360,20
233,55837,2
13,4708,22
39,69803,9
66,150021,17
18,70551,1
50,95635,15
37,109486,9
69,128502,14
19,63037,1
40,1647,67
42,102675,25
75,165806,52
13,64823,1
17,9095,32
30,97804,13
38,83733,24
8930,79386,2
47743,162163,50
97739,75294,12
66795,130722,41
114,10940,0
245,7792,9
1104,31134,4
9040,148006,18
24,58742,0
2896,144641,38
54,87106,20
4977,159620,39
36,51355,2
100,146552,54
90,108734,21
73,49259,42
58,72787,3
134,77679,85
117,112191,30
204,169671,58
78641,4606,2
136473,2887,55
142100,1398,25
295855,4756,59
76540,15031,4
356619,20197,48
79762,1510,26
302981,8436,43
22,59594,0
108,148754,15
31,7865,4
105,151084,18
344,65867,6
3409,179434,46
51,91056,22
2302,179798,25
79,27079,2
308,197243,52
201,140104,20
253,132636,44
38622,44019,1
250484,60987,51
130062,16923,16
168861,19982,41
452,77801,4
597,187377,81
293,119107,31
550,207213,79
50031,59738,4
179063,97640,61
166147,106471,31
178663,98567,53
