Sample_ID	N1	N1_spike	RPP30	S2	S2_spike
Plate2-N07	0	2	32	1	210336
Plate2-N08	0	1	25	4	2494
Plate2-N09	0	1	77	24	214195
Plate2-N10	0	0	98	32	331
Plate2-N11	0	0	15	0	27993
Plate2-N12	0	0	20	2	384
Plate2-N13	0	0	55	125	207024
Plate2-N14	0	0	68	29	830
Plate2-N15	0	0	22	6	88576
Plate2-N16	0	0	25	3	12512
Plate2-N17	0	0	20	8	150383
Plate2-N18	0	0	39	9	239976
Plate2-N19	0	0	59	10	244682
Plate2-N20	0	1	72	12	437
Plate2-N21	0	1	15	13	4393
Plate2-N22	0	0	13	10	38359
Plate2-N23	0	1	50	16	214251
Plate2-N24	0	0	82	11	262746
Plate2-O01	0	0	376	224	216961
Plate2-O02	0	0	405	1668	268263
Plate2-O03	0	1	28	1393	255443
Plate2-O04	0	0	34	437	86722
Plate2-O05	0	0	5	37	16715
Plate2-O06	0	0	5	679	111579
Plate2-O07	0	0	19	6767	84233
Plate2-O08	0	1	16	9152	301129
Plate2-O09	0	0	10	659	4645
Plate2-O10	0	0	17	44154	312658
Plate2-O11	0	2	18	76381	178592
Plate2-O12	0	0	41	108617	253019
Plate2-O13	0	0	67	137619	94610
Plate2-O14	0	1	94	140889	77955
Plate2-O15	1	0	27	188988	61407
Plate2-O16	2	0	33	346784	78773
Plate2-O17	0	0	28	404552	26929
Plate2-O18	2	2	34	457437	41925
Plate2-O19	2	0	21	447158	10888
Plate2-O20	0	0	23	500598	13624
Plate2-O21	0	0	21	247736	2163
Plate2-O22	0	0	32	483489	4558
Plate2-O23	0	0	34	388551	1725
Plate2-O24	0	0	40	220302	1405
Plate2-P01	0	0	387	108	195645
Plate2-P02	0	2	174	185	261880
Plate2-P03	0	0	49	2	106998
Plate2-P04	0	0	35	3365	286017
Plate2-P05	0	0	4	268	24658
Plate2-P06	0	0	0	1	63
Plate2-P07	0	0	15	5544	82468
Plate2-P08	0	2	22	1905	30774
Plate2-P09	0	0	20	115	398
Plate2-P10	0	0	25	3172	28009
Plate2-P11	0	1	81	160	284
Plate2-P12	0	1	87	2992	6499
Plate2-P13	0	0	96	78260	28279
Plate2-P14	0	1	62	22888	13781
Plate2-P15	1	1	49	288638	57837
Plate2-P16	2	0	44	2264	528
Plate2-P17	3	0	51	222864	17883
Plate2-P18	0	0	44	29586	3119
Plate2-P19	3	0	35	340687	10203
Plate2-P20	1	0	39	278812	6591
Plate2-P21	5	0	28	280859	2443
Plate2-P22	1	0	25	293951	3054
Plate2-P23	1	0	67	278368	1405
Plate2-P24	1	0	50	20149	90
