Sample_ID	N1	N1_spike	RPP30	S2	S2_spike
Plate1-G22	115	3270	9	0	0
Plate1-G23	97	2243	15	0	2
Plate1-G24	51	473	17	0	0
Plate1-H01	85	3915	13	0	0
Plate1-H02	653	57710	0	0	0
Plate1-H03	551	42284	1	0	0
Plate1-H04	6	36410	0	0	0
Plate1-H05	274	7158	12	0	0
Plate1-H06	325	61446	0	0	0
Plate1-H07	228	5207	2	0	0
Plate1-H08	202	21171	0	0	0
Plate1-H09	63	1523	3	0	0
Plate1-H10	47	11024	1	0	0
Plate1-H11	24	2599	2	0	0
Plate1-H12	5	6906	0	0	0
Plate1-H13	92	42	45	0	0
Plate1-H14	25	47	3	0	0
Plate1-H15	29	337	2	0	0
Plate1-H16	425	54825	0	0	0
Plate1-H17	166	15824	0	0	0
Plate1-H18	55	2306	0	0	0
Plate1-H19	109	3346	1	0	0
Plate1-H20	44	17707	0	0	0
Plate1-H21	38	496	2	0	0
Plate1-H22	1074	58611	0	0	0
Plate1-H23	58	1078	8	0	0
Plate1-H24	56	6360	0	0	0
Plate1-I01	39	1613	67	0	32
Plate1-I02	56	163887	52	0	0
Plate1-I03	2041	188171	37	1	7
Plate1-I04	1475	42301	36	0	0
Plate1-I05	2829	211497	40	0	14
Plate1-I06	4312	144866	30	0	0
Plate1-I07	10637	149557	109	1	20
Plate1-I08	2396	38204	76	0	0
Plate1-I09	5086	35167	46	0	18
Plate1-I10	25063	191885	32	0	0
Plate1-I11	42445	204095	29	2	7
Plate1-I12	42131	110558	37	0	1
Plate1-I13	116805	145146	24	4	30
Plate1-I14	96046	136931	22	0	0
Plate1-I15	110702	142707	165	21	16
Plate1-I16	193211	64088	177	0	0
Plate1-I17	50744	246681	42	27	3
Plate1-I18	72564	160370	40	0	0
Plate1-I19	289614	30253	36	62	5
Plate1-I20	286218	30231	44	0	0
Plate1-I21	329584	13533	40	34	3
Plate1-I22	253811	4793	28	0	0
Plate1-I23	317834	6326	60	24	0
Plate1-I24	286366	3025	39	0	0
Plate1-J01	24	101758	24	0	0
Plate1-J02	13	62590	1	0	0
Plate1-J03	18	70122	11	0	0
Plate1-J04	11	53657	1	0	0
Plate1-J05	5204	70937	23	0	0
Plate1-J06	149	48810	3	0	0
Plate1-J07	10086	71117	23	0	0
Plate1-J08	1292	52978	2	0	0
Plate1-J09	21890	101664	22	0	1
Plate1-J10	2523	69153	3	0	0
Plate1-J11	12466	49963	19	0	0
Plate1-J12	4375	38745	3	0	0
Plate1-J13	43916	57087	9	0	0
Plate1-J14	17840	48520	0	0	0
Plate1-J15	104683	21554	61	0	0
Plate1-J16	30576	40124	3	0	0
Plate1-J17	68639	44848	17	2	0
Plate1-J18	43050	25078	2	0	0
Plate1-J19	170871	10166	23	0	0
Plate1-J20	84140	15175	1	0	0
Plate1-J21	99299	786	10	0	0
Plate1-J22	57333	5594	0	0	0
Plate1-J23	140945	1362	29	1	0
Plate1-J24	87862	1664	4	0	0
Plate1-K01	3387	174310	46	0	29
Plate1-K02	2276	179325	25	0	0
Plate1-K03	128	419	27	0	6
Plate1-K04	8237	95746	42	0	0
Plate1-K05	5203	199670	40	0	32
Plate1-K06	8235	168968	38	0	0
Plate1-K07	1310	36923	34	0	20
Plate1-K08	4448	188522	32	0	0
